48,FEM,INTERIOR,17546,NAO,SIM,NAO,NAO,SIM
40,MASC,CAPITAL,30085.1,SIM,SIM,SIM,SIM,NAO
51,FEM,INTERIOR,16575.4,SIM,NAO,SIM,NAO,NAO
23,FEM,CAPITAL,20375.4,SIM,SIM,NAO,NAO,NAO
57,FEM,RURAL,50576.3,SIM,NAO,NAO,NAO,NAO
57,FEM,CAPITAL,37869.6,SIM,SIM,NAO,NAO,SIM
22,MASC,RURAL,8877.07,NAO,NAO,NAO,NAO,SIM
58,MASC,CAPITAL,24946.6,SIM,NAO,SIM,NAO,NAO
37,FEM,SUBURBIO,25304.3,SIM,SIM,SIM,NAO,NAO
54,MASC,CAPITAL,24212.1,SIM,SIM,SIM,NAO,NAO
66,FEM,CAPITAL,59803.9,SIM,NAO,NAO,NAO,NAO
52,FEM,INTERIOR,26658.8,NAO,NAO,SIM,SIM,NAO
44,FEM,CAPITAL,15735.8,SIM,SIM,NAO,SIM,SIM
66,FEM,CAPITAL,55204.7,SIM,SIM,SIM,SIM,SIM
36,MASC,RURAL,19474.6,SIM,NAO,NAO,SIM,NAO
38,FEM,INTERIOR,22342.1,SIM,NAO,SIM,SIM,NAO
37,FEM,CAPITAL,17729.8,SIM,SIM,NAO,SIM,NAO
46,FEM,SUBURBIO,41016,SIM,NAO,NAO,SIM,NAO
62,FEM,INTERIOR,26909.2,SIM,NAO,NAO,NAO,SIM
31,MASC,CAPITAL,22522.8,SIM,NAO,SIM,NAO,NAO
61,MASC,INTERIOR,57880.7,SIM,SIM,NAO,NAO,SIM
50,MASC,CAPITAL,16497.3,SIM,SIM,NAO,NAO,NAO
54,MASC,INTERIOR,38446.6,SIM,NAO,NAO,NAO,NAO
27,FEM,CAPITAL,15538.8,NAO,NAO,SIM,SIM,NAO
22,MASC,INTERIOR,12640.3,NAO,SIM,SIM,NAO,NAO
56,MASC,INTERIOR,41034,SIM,NAO,SIM,SIM,NAO
45,MASC,INTERIOR,20809.7,SIM,NAO,NAO,SIM,NAO
39,FEM,CAPITAL,20114,SIM,SIM,NAO,NAO,SIM
39,FEM,INTERIOR,29359.1,NAO,SIM,SIM,SIM,NAO
61,MASC,RURAL,24270.1,SIM,SIM,NAO,NAO,SIM
61,FEM,RURAL,22942.9,SIM,SIM,NAO,NAO,NAO
20,FEM,CAPITAL,16325.8,SIM,SIM,NAO,NAO,NAO
45,MASC,SUBURBIO,23443.2,SIM,SIM,SIM,NAO,SIM
33,FEM,INTERIOR,29921.3,NAO,SIM,SIM,NAO,NAO
43,MASC,SUBURBIO,37521.9,NAO,NAO,NAO,NAO,SIM
27,FEM,INTERIOR,19868,SIM,SIM,NAO,NAO,NAO
19,MASC,RURAL,10953,SIM,SIM,SIM,NAO,NAO
36,FEM,RURAL,13381,NAO,NAO,SIM,NAO,SIM
43,FEM,CAPITAL,18504.3,SIM,NAO,SIM,NAO,NAO
66,FEM,SUBURBIO,25391.5,NAO,SIM,NAO,NAO,NAO
55,MASC,CAPITAL,26774.2,SIM,NAO,NAO,SIM,SIM
47,FEM,INTERIOR,26952.6,SIM,NAO,SIM,NAO,NAO
67,MASC,CAPITAL,55716.5,NAO,SIM,SIM,NAO,SIM
32,FEM,CAPITAL,27571.5,SIM,NAO,SIM,SIM,NAO
20,MASC,INTERIOR,13740,NAO,SIM,SIM,SIM,NAO
64,MASC,INTERIOR,52670.6,SIM,SIM,NAO,SIM,SIM
50,FEM,INTERIOR,13283.9,NAO,SIM,SIM,NAO,SIM
29,MASC,INTERIOR,13106.6,NAO,SIM,NAO,SIM,SIM
52,MASC,INTERIOR,39547.8,NAO,SIM,SIM,NAO,SIM
47,FEM,RURAL,17867.3,SIM,SIM,SIM,NAO,NAO
24,MASC,CAPITAL,14309.7,NAO,SIM,SIM,NAO,NAO
36,MASC,CAPITAL,23894.8,SIM,NAO,NAO,NAO,NAO
43,MASC,CAPITAL,16259.7,SIM,SIM,NAO,NAO,SIM
48,MASC,SUBURBIO,29794.1,NAO,SIM,NAO,NAO,SIM
63,MASC,CAPITAL,56842.5,SIM,NAO,NAO,SIM,NAO
52,FEM,RURAL,47835.8,NAO,SIM,NAO,NAO,SIM
58,FEM,INTERIOR,24977.5,NAO,NAO,NAO,NAO,SIM
28,MASC,INTERIOR,23124.9,SIM,NAO,NAO,NAO,SIM
29,FEM,INTERIOR,15143.8,SIM,NAO,NAO,NAO,NAO
34,MASC,INTERIOR,25334.3,NAO,SIM,SIM,SIM,SIM
42,FEM,INTERIOR,24763.3,SIM,SIM,NAO,SIM,SIM
65,FEM,INTERIOR,36589,NAO,SIM,SIM,NAO,SIM
47,MASC,INTERIOR,27022.6,SIM,SIM,NAO,NAO,NAO
20,MASC,INTERIOR,11700.4,SIM,NAO,NAO,NAO,NAO
21,MASC,CAPITAL,5014.21,NAO,NAO,SIM,SIM,NAO
42,MASC,INTERIOR,17390.1,SIM,NAO,NAO,NAO,NAO
19,MASC,CAPITAL,10861,NAO,SIM,NAO,NAO,NAO
41,FEM,CAPITAL,34892.9,NAO,NAO,NAO,SIM,NAO
30,MASC,CAPITAL,19403.1,NAO,SIM,NAO,NAO,NAO
31,FEM,RURAL,10441.9,SIM,SIM,NAO,NAO,SIM
25,MASC,INTERIOR,14064.9,SIM,SIM,SIM,NAO,NAO
21,MASC,INTERIOR,8062.73,NAO,NAO,NAO,NAO,SIM
36,MASC,INTERIOR,31982,SIM,SIM,SIM,SIM,SIM
58,FEM,INTERIOR,23197.5,SIM,SIM,NAO,SIM,NAO
64,FEM,INTERIOR,52674,NAO,SIM,SIM,NAO,SIM
59,FEM,RURAL,35610.5,NAO,SIM,SIM,NAO,SIM
45,FEM,CAPITAL,26948,NAO,NAO,NAO,SIM,NAO
61,MASC,INTERIOR,49456.7,SIM,SIM,SIM,SIM,SIM
30,FEM,INTERIOR,14724.5,SIM,NAO,SIM,NAO,NAO
58,FEM,CAPITAL,34524.9,SIM,SIM,SIM,NAO,SIM
50,FEM,CAPITAL,22052.1,NAO,SIM,NAO,NAO,SIM
30,MASC,INTERIOR,27808.1,NAO,SIM,NAO,NAO,NAO
29,FEM,INTERIOR,12591.4,SIM,SIM,NAO,NAO,NAO
35,MASC,INTERIOR,16394.4,SIM,SIM,NAO,NAO,SIM
62,MASC,INTERIOR,24026.1,SIM,NAO,NAO,SIM,SIM
36,MASC,INTERIOR,31683.1,SIM,SIM,SIM,NAO,SIM
25,FEM,INTERIOR,15525,SIM,NAO,NAO,NAO,NAO
66,FEM,CAPITAL,22562.2,NAO,NAO,SIM,SIM,NAO
30,MASC,SUBURBIO,15848.7,SIM,NAO,SIM,SIM,NAO
54,FEM,INTERIOR,31095.6,SIM,SIM,NAO,NAO,SIM
37,MASC,CAPITAL,24814.5,SIM,SIM,SIM,SIM,SIM
28,FEM,INTERIOR,25429.3,NAO,SIM,NAO,SIM,NAO
53,FEM,RURAL,34866.5,NAO,NAO,NAO,NAO,SIM
61,MASC,INTERIOR,42579.1,SIM,SIM,SIM,NAO,NAO
61,FEM,INTERIOR,41127.4,SIM,NAO,SIM,NAO,NAO
18,FEM,INTERIOR,9990.11,SIM,NAO,NAO,NAO,NAO
22,MASC,INTERIOR,7948.62,SIM,SIM,NAO,SIM,NAO
34,MASC,CAPITAL,30870.8,SIM,SIM,SIM,SIM,SIM
35,FEM,INTERIOR,12125.8,NAO,SIM,NAO,NAO,NAO
18,FEM,RURAL,15348.9,SIM,NAO,SIM,NAO,NAO
54,MASC,INTERIOR,26707.9,SIM,SIM,NAO,SIM,SIM
27,FEM,INTERIOR,11604.4,SIM,SIM,SIM,NAO,NAO
42,MASC,INTERIOR,15499.9,SIM,NAO,SIM,SIM,SIM
43,MASC,CAPITAL,33088.5,NAO,NAO,NAO,SIM,NAO
64,FEM,INTERIOR,34513.6,SIM,SIM,NAO,NAO,SIM
43,MASC,CAPITAL,32395.5,SIM,SIM,SIM,NAO,NAO
49,MASC,RURAL,46633,SIM,NAO,SIM,NAO,NAO
23,MASC,INTERIOR,13039.9,SIM,NAO,NAO,NAO,NAO
23,MASC,INTERIOR,12681.9,NAO,NAO,NAO,NAO,SIM
30,FEM,INTERIOR,24031.5,SIM,SIM,SIM,SIM,NAO
36,MASC,CAPITAL,37330.5,NAO,SIM,NAO,NAO,SIM
34,MASC,INTERIOR,25333.2,SIM,SIM,SIM,SIM,NAO
51,FEM,INTERIOR,37094.2,SIM,NAO,SIM,NAO,NAO
36,MASC,CAPITAL,33630.6,NAO,SIM,SIM,NAO,SIM
56,MASC,INTERIOR,43228.2,SIM,SIM,SIM,NAO,SIM
54,FEM,INTERIOR,47796.8,SIM,NAO,NAO,NAO,NAO
56,FEM,CAPITAL,21730.3,SIM,SIM,NAO,NAO,NAO
26,MASC,INTERIOR,10044.1,SIM,SIM,NAO,SIM,NAO
39,MASC,CAPITAL,17270.1,NAO,NAO,SIM,NAO,SIM
64,FEM,RURAL,45765,SIM,SIM,SIM,NAO,SIM
46,MASC,RURAL,29525.5,NAO,SIM,NAO,SIM,NAO
62,FEM,RURAL,54863.8,SIM,SIM,SIM,NAO,SIM
36,FEM,CAPITAL,20799,SIM,SIM,NAO,SIM,SIM
35,FEM,RURAL,33028.3,NAO,SIM,NAO,NAO,SIM
47,MASC,RURAL,45031.9,NAO,SIM,SIM,NAO,SIM
47,MASC,INTERIOR,39010.8,SIM,SIM,NAO,NAO,SIM
37,FEM,CAPITAL,25257.7,SIM,NAO,SIM,NAO,NAO
48,FEM,INTERIOR,42603.9,SIM,NAO,NAO,NAO,NAO
41,MASC,CAPITAL,14092.7,SIM,SIM,SIM,NAO,NAO
27,FEM,RURAL,21350.3,NAO,NAO,SIM,NAO,SIM
43,MASC,INTERIOR,23246.4,NAO,SIM,NAO,NAO,NAO
